Symbol,Sector,ROE,Old ROE Score,New ROE Score,GM,Old GM Score,New GM Score,RG,Old RG Score,New RG Score,DE,Old DE Score,New DE Score,Old Avg,New Avg,Improvement,Improvement %,Improvement_Value
AAPL,Technology,138.0%,10,10,46.6%,8,2,5.1%,4,2.0,147.0,4,1,6.5,3.8,-2.8,-42.3%,-2.8
MSFT,Technology,33.6%,10,8,69.1%,10,6,13.3%,6,5.0,32.6,8,4,8.5,5.8,-2.8,-32.4%,-2.8
GOOGL,Communication Services,34.8%,10,10,58.6%,8,8,12.0%,6,8.0,8.3,10,10,8.5,9.0,+0.5,+5.9%,0.5
NVDA,Technology,115.5%,10,10,70.1%,10,6,69.2%,10,10.0,12.3,10,10,10.0,9.0,-1.0,-10.0%,-1.0
JNJ,Healthcare,29.4%,10,8,68.9%,10,5,2.4%,2,2.0,66.9,6,1,7.0,4.0,-3.0,-42.9%,-3.0
PFE,Healthcare,8.6%,2,2,74.4%,10,6,-7.8%,0,2.44,68.8,6,1,4.5,2.9,-1.6,-36.4%,-1.6
UNH,Healthcare,22.7%,8,7,22.0%,4,2,9.8%,4,7.0,77.3,6,1,5.5,4.2,-1.2,-22.7%,-1.2
ABBV,Healthcare,88.4%,10,10,71.0%,10,5,8.4%,4,6.0,4789.6,2,1,6.5,5.5,-1.0,-15.4%,-1.0
JPM,Financial Services,17.4%,6,6,0.0%,0,0,4.8%,2,3.0,0.0,10,10,4.5,4.8,+0.2,+5.6%,0.2
BAC,Financial Services,9.5%,2,3,0.0%,0,0,5.7%,4,5.0,0.0,10,10,4.0,4.5,+0.5,+12.5%,0.5
WFC,Financial Services,11.0%,4,3,0.0%,0,0,-3.6%,0,3.2800000000000002,0.0,10,10,3.5,4.1,+0.6,+16.3%,0.6
GS,Financial Services,12.2%,4,5,82.8%,10,10,6.3%,4,5.0,593.3,2,1,5.0,5.2,+0.2,+5.0%,0.2
BA,Industrials,0.0%,0,0,-1.8%,0,0,17.7%,8,10.0,0.0,10,10,4.5,5.0,+0.5,+11.1%,0.5
CAT,Industrials,55.6%,10,10,31.8%,6,5,-9.8%,0,2.04,213.5,2,1,4.5,4.5,+0.0,+0.2%,0.0
GE,Industrials,27.2%,10,8,31.9%,6,5,10.9%,6,8.0,106.4,4,1,6.5,5.5,-1.0,-15.4%,-1.0
MMM,Industrials,93.8%,10,10,41.2%,8,7,-1.0%,0,3.8,312.5,2,1,5.0,5.5,+0.5,+9.0%,0.5
XOM,Energy,14.3%,4,8,30.8%,6,8,0.6%,2,2.0,13.9,10,10,5.5,7.0,+1.5,+27.3%,1.5
CVX,Energy,10.1%,4,6,38.9%,6,10,-1.0%,0,3.8,19.8,10,10,5.0,7.5,+2.5,+49.0%,2.5
COP,Energy,16.7%,6,8,49.0%,8,10,18.5%,8,10.0,36.5,8,8,7.5,9.0,+1.5,+20.0%,1.5
EOG,Energy,20.9%,8,10,61.8%,10,10,0.0%,0,5.0,17.1,10,10,7.0,8.8,+1.8,+25.0%,1.8
PG,Consumer Defensive,30.3%,10,10,51.7%,8,7,-2.1%,0,3.58,65.0,6,4,6.0,6.1,+0.1,+2.4%,0.1
KO,Consumer Defensive,38.8%,10,10,61.1%,10,8,-1.5%,0,3.7,180.1,4,1,6.0,5.7,-0.3,-5.4%,-0.3
PEP,Consumer Defensive,49.9%,10,10,55.1%,8,8,-1.8%,0,3.64,261.8,2,1,5.0,5.7,+0.7,+13.2%,0.7
WMT,Consumer Defensive,21.8%,8,7,24.9%,4,2,2.5%,2,2.0,75.8,6,2,5.0,3.2,-1.8,-35.0%,-1.8
AMZN,Consumer Cyclical,25.2%,10,8,49.2%,8,6,8.6%,4,7.0,51.6,6,4,7.0,6.2,-0.8,-10.7%,-0.8
TSLA,Consumer Cyclical,8.8%,2,2,17.7%,4,2,-9.2%,0,2.16,17.4,10,10,4.0,4.0,+0.0,+1.0%,0.0
HD,Consumer Cyclical,299.5%,10,10,33.3%,6,2,9.4%,4,7.0,778.8,2,1,5.5,5.0,-0.5,-9.1%,-0.5
MCD,Consumer Cyclical,0.0%,0,0,56.8%,8,8,-3.5%,0,3.3,0.0,10,10,4.5,5.3,+0.8,+18.3%,0.8
